id,movie_name,movie_time,details,genre,,
,Jupiter Ascending ,12 PM,2015,Action,,
,In the Heart of the Sea ,5 PM,2015,Action,,
,Kingsman: The Secret Service ,9 PM,2015,Action,,
,Chappie ,12 PM,2015,Action,,
,Taken 3 ,5 PM,2015,Action,,
,Blackhat ,9 PM,2015,Action,,
,Beck - Rum 302 ,12 PM,2015,Crime,,
,The Woman in Black 2: Angel of Death ,5 PM,2015,Drama,,
,Beck - Familjen ,9 PM,2015,Crime,,
,Justice League: Throne of Atlantis ,12 PM,2015,Action,,
,Against The Sun ,5 PM,2015,Adventure,,
,Paper Planes ,9 PM,2015,Children,,
,Mortdecai ,12 PM,2015,Adventure,,
,Fifty Shades of Grey ,5 PM,2015,Drama,,
,American Heist ,9 PM,2015,Action,,
,Strange Magic ,12 PM,2015,Animation,,
,The DUFF ,5 PM,2015,Comedy,,
,Project Almanac ,9 PM,2015,Sci-Fi,,
,Louis C.K.: Live at The Comedy Store ,12 PM,2015,Comedy,,
,Brooklyn ,5 PM,2015,Comedy,,
,Digging for Fire ,9 PM,2015,Drama,,
,Don Verdean ,12 PM,2015,Comedy,,
,The End of the Tour ,5 PM,2015,Drama,,
,Experimenter ,9 PM,2015,Drama,,
,I Am Michael ,12 PM,2015,Drama,,
,Lila & Eve ,5 PM,2015,Drama,,
,Last Days in the Desert ,9 PM,2015,Adventure,,
,I'll See You in My Dreams ,12 PM,2015,Comedy,,
,Seoul Searching ,5 PM,2015,Comedy,,
,Mississippi Grind ,9 PM,2015,Drama,,
,Mistress America ,12 PM,2015,Comedy,,
,Zipper ,5 PM,2015,Drama,,
,A Walk in the Woods ,9 PM,2015,Adventure,,
,True Story ,12 PM,2015,Drama,,
,Ten Thousand Saints ,5 PM,2015,Comedy,,
,Sleeping with Other People ,9 PM,2015,Comedy,,
,Beaver Trilogy Part IV ,12 PM,2015,Documentary,,
,Drunk Stoned Brilliant Dead: The Story of the National Lampoon ,5 PM,2015,Comedy,,
,Kurt Cobain: Montage of Heck ,9 PM,2015,Documentary,,
,The Hunting Ground ,12 PM,2015,Documentary,,
,Going Clear: Scientology and the Prison of Belief ,5 PM,2015,Documentary,,
,The Mask You Live In ,9 PM,2015,Documentary,,
,Prophet's Prey ,12 PM,2015,Crime,,
,In Football We Trust ,5 PM,2015,Documentary,,
,Most Likely to Succeed ,9 PM,2015,Documentary,,
,"What Happened, Miss Simone? ",12 PM,2015,Documentary,,
,Advantageous ,5 PM,2015,Children,,
,The Bronze ,9 PM,2015,Comedy,,
,The D Train ,12 PM,2015,Comedy,,
,The Diary of a Teenage Girl ,5 PM,2015,Drama,,
,Dope ,9 PM,2015,Comedy,,
,I Smile Back ,12 PM,2015,Drama,,
,Me and Earl and the Dying Girl ,5 PM,2015,Drama,,
,The Overnight ,9 PM,2015,Comedy,,
,"People, Places, Things ",12 PM,2015,Comedy,,
,Results ,5 PM,2015,Comedy,,
